activation,epochs,batch_size,final_test_loss
relu,5,64,0.5858583685698783
tanh,5,64,0.5331176325773738
sigmoid,5,64,0.7908588222637298
relu,10,64,0.5022459174417386
relu,15,64,0.46223887516434786
relu,20,64,0.4075594501700371
relu,25,64,0.3913265006367568
relu,5,32,0.5081829053525346
relu,5,128,0.6473950257029715
